framenumber,Timestamp,Pose-X,Pose-Y,Headrate,VelocityYaw,Standstill,Direction,CarSpeed,FrontWheelAngle
5163,2806868895,45.666000000000003922,-2.30400000000000027,-1.3571581840515136719,0.10748343169689178467,0,1,0.84375,0.35586154460906982422
5164,2806888890,45.669000000000004036,-2.3180000000000000604,-1.3550012111663818359,0.10787561315988176969,0,1,0.84375,0.35586154460906982422
5165,2806908874,45.673000000000001819,-2.3319999999999998508,-1.3528299331665039062,0.10865082065041682668,0,1,0.84375,0.35586154460906982422
5166,2806928881,45.679000000000002046,-2.3599999999999998757,-1.3506389856338500977,0.10950904846572742657,0,1,0.84375,0.35586154460906982422
5167,2806948882,45.679000000000002046,-2.3599999999999998757,-1.3484475612640380859,0.1095657402035904171,0,1,0.84375,0.35586154460906982422
5168,2806968849,45.685000000000002274,-2.3879999999999999005,-1.3462642431259155273,0.10934632834790197764,0,1,0.84375,0.35586154460906982422
5169,2806968849,45.685000000000002274,-2.3879999999999999005,-1.3462642431259155273,0.10960614681243896484,0,1,0.859375,0.35198044776916503906
5170,2806988905,45.691000000000002501,-2.4159999999999999254,-1.3440446853637695312,0.1106680176578578173,0,1,0.859375,0.35198044776916503906
5171,2807008885,45.691000000000002501,-2.4159999999999999254,-1.341824173927307351,0.11113670853165177888,0,1,0.859375,0.35198044776916503906
5172,2807028871,45.698000000000000398,-2.4430000000000000604,-1.3395978212356567383,0.11139561151057693345,0,1,0.859375,0.35198044776916503906
5173,2807048908,45.701000000000000512,-2.4569999999999998508,-1.3373590707778930664,0.11173082086957487891,0,1,0.859375,0.35198044776916503906
5174,2807068876,45.704999999999998295,-2.4710000000000000853,-1.3350747823715209961,0.11439745624860127304,0,1,0.859375,0.35198044776916503906
5175,2807068876,45.704999999999998295,-2.4710000000000000853,-1.3350747823715209961,0.11557630449533462524,0,1,0.875,0.34579169750213623047
5176,2807088876,45.707999999999998408,-2.4849999999999998757,-1.3327964544296266869,0.1139163970947265625,0,1,0.875,0.34579169750213623047
5177,2807108886,45.715000000000003411,-2.5129999999999999005,-1.3305242061614992455,0.11355563558857778572,0,1,0.875,0.34579169750213623047
5178,2807128882,45.722000000000001307,-2.5409999999999999254,-1.3282569646835324928,0.11338475084848512187,0,1,0.875,0.34579169750213623047
5179,2807148895,45.722000000000001307,-2.5409999999999999254,-1.3259704113006591797,0.11425340443079674835,0,1,0.875,0.34579169750213623047
5180,2807168881,45.728999999999999204,-2.5680000000000000604,-1.3236670494079589844,0.11524876877315097523,0,1,0.875,0.34579169750213623047
5181,2807168881,45.728999999999999204,-2.5680000000000000604,-1.3236670494079589844,0.1161069720983505249,0,1,0.9375,0.33855399489402770996
5182,2807188908,45.731999999999999318,-2.5819999999999998508,-1.3213785886764526367,0.11426877373078082878,0,1,0.9375,0.33855399489402770996
5183,2807208858,45.736000000000004206,-2.5960000000000000853,-1.3191435337066650391,0.1120328305657943696,0,1,0.9375,0.33855399489402770996
5184,2807228907,45.73900000000000432,-2.6099999999999998757,-1.3168710470199584961,0.11334663507938268212,0,1,0.9375,0.33855399489402770996
5185,2807248888,45.746000000000002217,-2.6379999999999999005,-1.3146165609359743431,0.11283149411863145628,0,1,0.9375,0.33855399489402770996
5186,2807268867,45.753999999999997783,-2.6650000000000000355,-1.3123458623886106178,0.11365426434572707681,0,1,0.9375,0.33855399489402770996
5187,2807268867,45.753999999999997783,-2.6650000000000000355,-1.3123458623886106178,0.11385159939527511597,0,1,0.9375,0.33341416716575622559
5188,2807288914,45.753999999999997783,-2.6650000000000000355,-1.3100541830062866211,0.11431532809518725469,0,1,0.9375,0.33341416716575622559
5189,2807308889,45.761000000000002785,-2.6930000000000000604,-1.3077932596206662819,0.11318765384831624976,0,1,0.9375,0.33341416716575622559
5190,2807328885,45.765000000000000568,-2.7069999999999998508,-1.305530548095703125,0.11315820788974689792,0,1,0.9375,0.33341416716575622559
5191,2807348907,45.768999999999998352,-2.7210000000000000853,-1.3032855987548830345,0.11212413049746841609,0,1,0.9375,0.33341416716575622559
5192,2807368879,45.776000000000003354,-2.7480000000000002203,-1.3009923696517944336,0.11482220624315936375,0,1,0.9375,0.33341416716575622559
5193,2807368879,45.776000000000003354,-2.7480000000000002203,-1.3009923696517944336,0.11537730693817138672,0,1,0.96875,0.33121138811111450195
5194,2807388896,45.780000000000001137,-2.7620000000000000107,-1.2986948490142824486,0.11477847017596078116,0,1,0.96875,0.33121138811111450195
5195,2807408898,45.788000000000003809,-2.7900000000000000355,-1.2963809967041015625,0.11568104740429277499,0,1,0.96875,0.33121138811111450195
